mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,23.656999999999996,5,gaussian,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0035281641127437036,0.0037677891871679137,1.5422425672559377,1.5409452882185861,1.2418705919925546,1.2413481736477425,0.15900155048086712,0.15944851041563582,0.9883273965468423,0.9869734174941904
2,25.491,5,gaussian,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.005257392145652906,0.005570757388189795,1.5395662356379245,1.5381565053183566,1.2407925836488243,1.2402243770053694,0.15888747890924,0.15933085003106068,0.9871883119788168,0.9857593022865051
3,36.656000000000006,5,gaussian,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.008416325250637957,0.008801202688155652,1.5346771450222483,1.5331597390927707,1.2388208688193174,1.2382082777516756,0.15867850286006713,0.1591270690942823,0.9851293671626361,0.9835242535103204
4,22.453000000000003,5,gaussian,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0058846837730073265,0.005627206443614696,1.5385953744304646,1.5380691914320586,1.2404012957226642,1.240189175663156,0.15884765009715343,0.1593406214479371,0.9870186022179084,0.9858585733463764
5,28.515000000000015,5,gaussian,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.008714316929639199,0.00820734395114553,1.5342159423715638,1.5340783038738839,1.2386347090129373,1.238579147198064,0.15865825852173007,0.15918520016914597,0.9853755904807798,0.9841854685250176
6,45.83699999999999,5,gaussian,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.013523965465691345,0.012466470044938727,1.526772034336536,1.5274904017613788,1.235626170949991,1.2359168263930138,0.15833523480294448,0.1589270985111112,0.9824248528938957,0.9813000427175013
7,23.464,5,gaussian,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.007408352793614403,0.006454660220486352,1.5362371871366942,1.5367893081028006,1.2394503568665807,1.2396730650065768,0.1587425765724283,0.15929328245771956,0.9860899858943216,0.9853027351329444
8,33.66899999999998,5,gaussian,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.01104650102679039,0.009556414936837454,1.5306064137729944,1.5319915970235018,1.2371767916401417,1.2377364812525733,0.15849773582848725,0.1590963186665154,0.9839458121960045,0.9833880349736916
9,57.04599999999999,5,gaussian,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.017328584430659433,0.014665650225417659,1.5208836137022104,1.5240887687883917,1.2332411012053606,1.2345399016590721,0.1580699563159395,0.1587630431253639,0.9800934358294983,0.9801606473938891
10,29.581999999999994,5,gaussian,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.010604968671590997,0.007864657019696186,1.5312897747757697,1.5346083628366634,1.2374529384084754,1.238793107357586,0.1585187337719124,0.15918350286968785,0.9842956474548589,0.98463144850746
